カテゴリ名,ランキング,商品URL,商品名,メーカー,ブランド名,口コミ点,口コミ件数,注目人数,容量・税込価格,発売日,税込価格,容量
香水・フレグランス,3位,https://www.cosme.net/products/10270631/,コスメデコルテ ＡＱ パフュームド ヘアミスト,コスメデコルテ,コスメデコルテ,5.9,94.0,,"30mL・7,700円",2025/5/16,,
香水・フレグランス,4位,https://www.cosme.net/products/10193973/,メディテーションオードパルファム,アユーラ ラボラトリーズ,アユーラ,6.1,80.0,,"9mL・2,750円",2020/7/31 (2025/6/25追加発売)NEW,,
香水・フレグランス,5位,https://www.cosme.net/products/10010221/,イングリッシュ ペアー ＆ フリージア コロン,Jo Malone London(ジョー マローン ロンドン),Jo Malone London(ジョー マローン ロンドン),5.6,3866.0,,"30ml・11,880円 / 50ml・16,940円 / 100ml・23,650円",2010/9/3 (2019/7/5追加発売),,
香水・フレグランス,6位,https://www.cosme.net/products/10167889/,ナルシソ ロドリゲス フォーハー ピュア ムスク オードパルファム,ナルシソ ロドリゲス パルファム,ナルシソ ロドリゲス パルファム,5.5,238.0,,"10mL・3,630円 / 30ml・11,220円 / 50ml・16,830円 / 100ml・22,000円",2019/4/10 (2023/4/12追加発売),,
香水・フレグランス,7位,https://www.cosme.net/products/10258632/,モロッカンビューティ ディープモイスト クイックグロス オイルスプレー,ボトルワークス,ボトルワークス,5.1,356.0,,"40g・990円 / 145g・1,595円 / 145g＋25g・1,595円",2024/8/14 (2025/2/23追加発売),,
香水・フレグランス,8位,https://www.cosme.net/products/10214598/,キモノ ツヤ オードトワレ,コスメデコルテ,コスメデコルテ,5.4,701.0,,"15ml・3,740円 / 50ml・9,350円",2021/11/16,,
香水・フレグランス,9位,https://www.cosme.net/products/10252552/,シルクヘアオイル FLOWER GARDEN,MOTON,MOTON,5.4,125.0,,"100ml・1,870円",2024/3/1,,
香水・フレグランス,10位,https://www.cosme.net/products/10169390/,ホワイトフローラル オードトワレ,ジルスチュアート,ジルスチュアート,5.5,983.0,,"10ml・2,200円 / 50ml・4,400円",2019/5/31 (2024/10/4追加発売),,
香水・フレグランス,11位,https://www.cosme.net/products/10129748/,お浄め恋スプレー,マルチニーク,おいせさん,4.9,617.0,,"15g・1,100円",2016/12/26,,
香水・フレグランス,12位,https://www.cosme.net/products/10242115/,AQ オードパルファン,コスメデコルテ,コスメデコルテ,5.8,296.0,,"30ml・11,550円 / 100ml・22,550円",2023/10/16,,
香水・フレグランス,13位,https://www.cosme.net/products/10134030/,フレグランスボディシート ピュアシャンプーの香り,井田ラボラトリーズ,フィアンセ,5.5,193.0,,20枚・550円,2017/5/25,,
香水・フレグランス,14位,https://www.cosme.net/products/10192841/,イレジスティブル オーデパルファム,パルファム ジバンシイ〔LVMHフレグランスブランズ〕,ジバンシイ,5.3,230.0,,"20ml・4,950円 / 35ml・12,100円 / 50ml・15,510円 / 80ml・18,480円 / 150mL・22,330円",2020/5/15 (2024/11/1追加発売),,
香水・フレグランス,15位,https://www.cosme.net/products/10273361/,ミス ディオール ブルーミング ブーケ ヘア ミスト,パルファン・クリスチャン・ディオール,ディオール,5.6,28.0,,"30ml・7,700円",2025/5/30,,
香水・フレグランス,16位,https://www.cosme.net/products/10271607/,チャンス オー スプランディド オードゥ パルファム,シャネル,シャネル,5.3,33.0,,"50mL・17,600円 / 100mL・24,200円",2025/4/15,,
香水・フレグランス,17位,https://www.cosme.net/products/10268548/,アクア アレゴリア ローザ ヴェルデ,ゲラン,ゲラン,5.7,34.0,,"75mL・15,400円 / 200mL・25,300円",2025/3/1,,
香水・フレグランス,18位,https://www.cosme.net/products/10210246/,マインドフルフレグランス ノンアルコール/Purification of Mind（心の浄化）,JIMOS(ジモス),SINN PURETE(シン ピュルテ),5.2,214.0,,"100mL・3,980円",2021/6/15,,
香水・フレグランス,19位,https://www.cosme.net/products/10252590/,ヘア＆ボディミスト NUDE CALM,MOTON,MOTON,5.7,159.0,,,2023/11/29,"1,760円",
香水・フレグランス,20位,https://www.cosme.net/products/2930098/,ミス ディオール ブルーミング ブーケ オードゥトワレ,パルファン・クリスチャン・ディオール,ディオール,5.7,3432.0,,"30ml・9,240円 / 50ml・14,520円 / 100ml・20,350円",2008/7/25 (2024/11/1追加発売),,
香水・フレグランス,21位,https://www.cosme.net/products/10210248/,マインドフルフレグランス ノンアルコール/Stillness and Energy（静けさとエナジー）,JIMOS(ジモス),SINN PURETE(シン ピュルテ),5.3,159.0,,"100mL・3,980円",2021/6/15,,
香水・フレグランス,22位,https://www.cosme.net/products/10272256/,ボディミスト メロウクリームソーダ,井田ラボラトリーズ,フィアンセ,5.6,20.0,,"50mL・1,320円",2025/6/4,,
香水・フレグランス,23位,https://www.cosme.net/products/10082731/,ウッド セージ ＆ シー ソルト コロン,Jo Malone London(ジョー マローン ロンドン),Jo Malone London(ジョー マローン ロンドン),5.5,895.0,,"30ml・11,880円 / 50ml・16,940円 / 100ml・23,650円",2014/9/5 (2019/7/5追加発売),,
香水・フレグランス,24位,https://www.cosme.net/products/10247581/,LOA　THE　OIL　BLANCHE（ブランシュ）,Jade Japan,LOA,6.0,37.0,,"100ml・5,500円",2023/5/1,,
香水・フレグランス,25位,https://www.cosme.net/products/10252594/,ヘア＆ボディミスト FLOWER GARDEN,MOTON,MOTON,5.4,409.0,,"50ml・1,320円 / 80ml・1,760円",2023/11/29,,
香水・フレグランス,26位,https://www.cosme.net/products/283444/,クロエ オードパルファム,Coty,クロエ,5.3,6158.0,,"30ml・11,550円 / 50ml・16,390円 / 100ml・23,100円",2008/4/2,,
香水・フレグランス,27位,https://www.cosme.net/products/10200372/,キモノ ウララ オードトワレ,コスメデコルテ,コスメデコルテ,5.5,240.0,,"15ml・3,740円 / 50ml・9,350円",2020/12/1 (2021/11/16追加発売),,
香水・フレグランス,28位,https://www.cosme.net/products/10215563/,ティファニー ローズ ゴールド オードパルファム,Coty,ティファニー,5.6,292.0,,"30ml・11,550円 / 50ml・16,500円 / 75ml・19,580円",2021/11/3,,
香水・フレグランス,29位,https://www.cosme.net/products/10200374/,キモノ リン オードトワレ,コスメデコルテ,コスメデコルテ,5.6,298.0,,"15ml・3,740円 / 50ml・9,350円",2020/12/1 (2021/11/16追加発売),,
香水・フレグランス,30位,https://www.cosme.net/products/2887942/,ネクタリン ブロッサム ＆ ハニー コロン,Jo Malone London(ジョー マローン ロンドン),Jo Malone London(ジョー マローン ロンドン),5.5,628.0,,"30ml・11,000円 / 100ml・21,560円",-,,
香水・フレグランス,31位,https://www.cosme.net/products/10092560/,ミス ディオール ヘアミスト,パルファン・クリスチャン・ディオール,ディオール,5.7,2353.0,,"30ml・6,600円",2015/2/27,,
香水・フレグランス,32位,https://www.cosme.net/products/303361/,エクラ・ドゥ・アルページュ オード パルファム,ブルーベル・ジャパン,ランバン,5.3,8571.0,,"30ml・8,140円 / 50ml・10,560円 / 100ml・15,400円",2003/4/3,,
香水・フレグランス,33位,https://www.cosme.net/products/10222370/,アクア アレゴリア ペラ グラニータ,ゲラン,ゲラン,5.4,719.0,,"75ml(本体)・15,400円 / 200ml(レフィル)・25,300円",2022/5/1,,
香水・フレグランス,34位,https://www.cosme.net/products/10273393/,ミス ディオール パルファン ヘア ミスト,パルファン・クリスチャン・ディオール,ディオール,5.9,14.0,,"30ml・7,700円",2025/5/30,,
香水・フレグランス,35位,https://www.cosme.net/products/10221079/,イレジスティブル ヘア ミスト,パルファム ジバンシイ〔LVMHフレグランスブランズ〕,ジバンシイ,5.5,223.0,,"35ml・5,940円",2022/5/6,,
香水・フレグランス,36位,https://www.cosme.net/products/10228803/,イングリッシュ ペアー & フリージア ウッド セージ & シー ソルト トラベル コロン デュオ,Jo Malone London(ジョー マローン ロンドン),Jo Malone London(ジョー マローン ロンドン),5.5,178.0,,"9ml×2・5,500円",-,,
香水・フレグランス,37位,https://www.cosme.net/products/10182528/,ソレイユ ネージュ オード パルファム スプレィ,トム フォード ビューティ,トム フォード ビューティ,5.3,324.0,,"10ml・12,100円 / 30ml・25,850円 / 50ml・38,500円 / 100ml・53,900円",2019/12/6 (2025/1/17追加発売),,
香水・フレグランス,38位,https://www.cosme.net/products/10159465/,ランテルディ オーデパルファム,パルファム ジバンシイ〔LVMHフレグランスブランズ〕,ジバンシイ,5.6,201.0,,"20ml・4,950円 / 35ml・12,100円 / 50ml・15,510円 / 80ml・18,480円 / 100ml・21,230円 / 150ml・22,330円",2018/9/15 (2024/6/1追加発売),,
香水・フレグランス,39位,https://www.cosme.net/products/10164809/,ロスト チェリー オード パルファム スプレィ,トム フォード ビューティ,トム フォード ビューティ,5.7,407.0,,"10ml・15,400円 / 30ml・34,100円 / 50ml・52,250円 / 100ml・70,400円",2019/2/1 (2025/2/7追加発売),,
香水・フレグランス,40位,https://www.cosme.net/products/10273392/,ミス ディオール オードゥ パルファン ヘア ミスト,パルファン・クリスチャン・ディオール,ディオール,5.1,14.0,,"30ml・7,700円",2025/5/30,,
香水・フレグランス,41位,https://www.cosme.net/products/10259464/,メイクミーハッピー オードトワレ momo oolong,井田ラボラトリーズ,キャンメイク,5.1,94.0,,,2024年8月下旬,770円,
香水・フレグランス,42位,https://www.cosme.net/products/10022438/,ボディミスト ピュアシャンプーの香り,井田ラボラトリーズ,フィアンセ,5.4,2547.0,,"50ml・1,320円",2011/6/8,,
香水・フレグランス,43位,https://www.cosme.net/products/832/,ジャドール オードゥ パルファン,パルファン・クリスチャン・ディオール,ディオール,5.7,1793.0,,"30ml・11,550円 / 50ml・16,720円 / 100ml・23,100円",1999/9/15 (2025/4/4追加発売),,
香水・フレグランス,44位,https://www.cosme.net/products/10261786/,フレグランスヘアミルク　フローラルブーケ,yokilab,TIAROOM,5.2,134.0,,"6mL・110円 / 100mL・1,540円",2024/9/1,,
香水・フレグランス,45位,https://www.cosme.net/products/10189708/,ジャドール ヘア ミスト,パルファン・クリスチャン・ディオール,ディオール,5.8,219.0,,"40ml・7,700円",2020/6/5,,
香水・フレグランス,46位,https://www.cosme.net/products/10163688/,チャンス オー タンドゥル オードゥ パルファム,シャネル,シャネル,5.7,657.0,,"35ml・11,880円 / 50ml・17,600円 / 100ml・24,200円",2019/1/4 (2020/1/3追加発売),,
香水・フレグランス,47位,https://www.cosme.net/products/10272985/,ヘア＆ボディミスト PEACH GELATO,MOTON,MOTON,5.4,16.0,,"80ml・1,760円",2025/5/26,,
香水・フレグランス,48位,https://www.cosme.net/products/10267434/,キモノ　ミモザ　オードトワレ,コスメデコルテ,コスメデコルテ,5.4,128.0,,"15ml・3,520円 / 50ml・9,130円",2025/2/16,,
香水・フレグランス,49位,https://www.cosme.net/products/10252592/,ヘア＆ボディミスト TWILIGHT JOURNEY,MOTON,MOTON,5.3,220.0,,"50ml・1,320円 / 80ml・1,760円",2023/11/29,,
香水・フレグランス,50位,https://www.cosme.net/products/10163105/,モン パリ ヘアミスト,イヴ・サンローラン・ボーテ,イヴ・サンローラン,6.1,128.0,,"30ml・6,930円",2018/8/24,,
ヘアケア・スタイリング,1位,https://www.cosme.net/products/10029390/,エッセンスインヘアミルク,オルビス,オルビス,5.1,17240.0,,"140g(つめかえ)・1,100円 / 140g・1,320円",2011/10/1 (2025/3/6追加発売),,
ヘアケア・スタイリング,2位,https://www.cosme.net/products/10263025/,スーパーラメラシャンプー&EXモイストトリートメント ＦＯＲ ＤＡＩＬＹ ＤＡＭＡＧＥ,花王,THE ANSWER,5.1,3302.0,,8g / 12ml / 220g / 320ml / 400ml (オープン価格),2024/11/2,,
ヘアケア・スタイリング,3位,https://www.cosme.net/products/10227673/,AQ ブースティング トリートメント ヘアセラム,コスメデコルテ,コスメデコルテ,5.5,2534.0,,"200ml(付けかえ用)・5,280円 / 200ml・5,830円",2022/10/16 (2024/3/16追加発売),,
ヘアケア・スタイリング,4位,https://www.cosme.net/products/10245682/,モロッカンビューティ ディープモイスト シャンプー／ヘアトリートメント,ボトルワークス,ボトルワークス,4.9,2762.0,,"12mL＋12mL・132円 / 300mL+300mL・1,980円 / 370ml・1,210円 / 430ml・1,595円",2023/9/26 (2023/10/9追加発売),,
ヘアケア・スタイリング,5位,https://www.cosme.net/products/10242473/,ヘッドスクラブ リフレッシング,SABON Japan(サボンジャパン),SABON(サボン),5.6,2065.0,,"90g・2,420円 / 300g・5,500円",2023/9/1,,
ヘアケア・スタイリング,6位,https://www.cosme.net/products/10226197/,ファンゴ ヘッドクレンズ SPA＋,コーセー,プレディア,5.3,4316.0,,"30g・275円 / 250g・2,200円 / 500g・3,630円 / 500g・3,850円",2022/8/21,,
ヘアケア・スタイリング,7位,https://www.cosme.net/products/10266059/,クロノビューティ UV ヘアカラーラスティング＆スタイリング バーム,カネボウ化粧品,アリィー(ALLIE),5.3,722.0,,"35g・2,750円 (編集部調べ)",2025/2/8,,
ヘアケア・スタイリング,8位,https://www.cosme.net/products/10199805/,リファロックオイル,MTG,ReFa,5.3,3782.0,,"100ml・2,640円",2020/10/26 (2023/10/18追加発売),,
ヘアケア・スタイリング,9位,https://www.cosme.net/products/10058894/,トリートメントヘアウォーター,オルビス,オルビス,5.0,2814.0,,"180ml(つめかえ用)・880円 / 180ml・1,100円",2013/4/1,,
ヘアケア・スタイリング,10位,https://www.cosme.net/products/10237969/,ディープダメージトリートメントEX,Wyatt,UNOVE,5.3,948.0,,"150ml・1,700円 / 207ml・2,990円 / 320ml・4,000円",-,,
ヘアケア・スタイリング,11位,https://www.cosme.net/products/10168466/,ポイントリペア,多田,plus eau（プリュスオー）,5.3,3892.0,,"10ml・1,210円",2019/4/20,,
ヘアケア・スタイリング,12位,https://www.cosme.net/products/10260228/,リファミルクプロテインシャンプー/トリートメント,MTG,ReFa,4.8,1061.0,,"500g・1,980円 / 500mL・1,980円",2024/8/30,,
ヘアケア・スタイリング,13位,https://www.cosme.net/products/10225824/,メロウシャンプー／メロウトリートメント,多田,plus eau（プリュスオー）,5.0,3347.0,,"350ml・1,210円 / 450ml・1,650円",2022/10/1,,
ヘアケア・スタイリング,14位,https://www.cosme.net/products/10263027/,EXリペアトリートメント ＦＯＲ ＣＯＬＯＲ ＤＡＭＡＧＥ,花王,THE ANSWER,5.1,566.0,,8g / 220g (オープン価格),2024/11/2,,
ヘアケア・スタイリング,15位,https://www.cosme.net/products/10267582/,melt スムースシャンプー／トリートメント,花王,melt,4.8,866.0,,10ml+10ml / 480ml (オープン価格),2025/3/15,,
ヘアケア・スタイリング,16位,https://www.cosme.net/products/10270300/,ヘッドスクラブ クラリファイング,SABON Japan(サボンジャパン),SABON(サボン),5.3,338.0,,"90g・2,640円 / 300g・5,830円",2025/4/17,,
ヘアケア・スタイリング,17位,https://www.cosme.net/products/10225892/,ディープ ヘッドクレンズ ホワイトフローラル,ジルスチュアート,ジルスチュアート,5.4,1655.0,,"280g・3,630円",2022/9/16,,
ヘアケア・スタイリング,18位,https://www.cosme.net/products/10260243/,リファミルクプロテインアウトバストリートメント,MTG,ReFa,5.1,444.0,,"100g・1,980円",2024/8/30,,
ヘアケア・スタイリング,19位,https://www.cosme.net/products/10247599/,ケープ FOR ACTIVE 前髪ホールドマスカラ,花王,ケープ,5.2,882.0,,,2023/11/11,,9g
ヘアケア・スタイリング,20位,https://www.cosme.net/products/10117005/,uka スカルプブラシ KENZAN,ウカ,uka,5.6,9581.0,,,2016/8/15,"2,420円",
ヘアケア・スタイリング,21位,https://www.cosme.net/products/10259365/,リポアシャンプー／リポアトリートメント,多田,plus eau（プリュスオー）,4.8,1141.0,,"450ml・1,650円",2024/11/2,,
ヘアケア・スタイリング,22位,https://www.cosme.net/products/10252925/,melt モイストシャンプー／トリートメント,花王,melt,4.8,2139.0,,20ml / 480ml (オープン価格),2024/4/20,,
ヘアケア・スタイリング,23位,https://www.cosme.net/products/10223760/,uka スカルプブラシ KENZAN バリカタ,ウカ,uka,5.8,2157.0,,,-,"2,420円",
ヘアケア・スタイリング,24位,https://www.cosme.net/products/10229993/,リファロックオイルライト,MTG,ReFa,5.1,832.0,,"100ml・2,640円",2022/11/1 (2023/10/18追加発売),,
ヘアケア・スタイリング,25位,https://www.cosme.net/products/10242472/,ヘッドスクラブ リプレニッシング,SABON Japan(サボンジャパン),SABON(サボン),5.5,1160.0,,"90g・2,420円 / 300g・5,500円",2023/9/1,,
ヘアケア・スタイリング,26位,https://www.cosme.net/products/10269623/,リファミルクプロテインシャンプーピンク/トリートメントピンク,MTG,ReFa,4.8,216.0,,"500g・1,980円 / 500ｍL・1,980円",2025/2/28,,
ヘアケア・スタイリング,27位,https://www.cosme.net/products/10260975/,モロッカンビューティ ハイドロリペア シャンプー／ヘアトリートメント,ボトルワークス,ボトルワークス,5.0,768.0,,"370mL・1,210円 / 430mL・1,595円 / 430ｍL・1,595円 / -・132円",2024/9/30,,
ヘアケア・スタイリング,28位,https://www.cosme.net/products/10225518/,エッセンシャル プレミアム ウォータートリートメント EXスムース(旧),花王,エッセンシャル,4.8,4787.0,,200ml (オープン価格),2022/9/10 (2024年4月中旬頃追加発売),,
ヘアケア・スタイリング,29位,https://www.cosme.net/products/10264929/,シンクロシャンプー ファム DAMAGE REPAIR / シンクロトリートメント DAMAGE REPAIR,GMコーポレーション,エレクトロン,5.4,799.0,,"10ml＋10g・220円 / 180g・3,080円 / 300ml・3,740円 / -・6,820円",2025/1/9,,
ヘアケア・スタイリング,30位,https://www.cosme.net/products/10263026/,EXグロストリートメント ＦＯＲ ＨＥＡＴ ＤＡＭＡＧＥ,花王,THE ANSWER,4.9,385.0,,8g / 220g (オープン価格),2024/11/2,,
ヘアケア・スタイリング,31位,https://www.cosme.net/products/10249304/,ポイントリペア スーパーハード,多田,plus eau（プリュスオー）,5.2,705.0,,"10ml・1,210円",2024/1/15,,
ヘアケア・スタイリング,32位,https://www.cosme.net/products/10268736/,深ヘッドスパ　アドバンスドエイジングケア　シャンプー/トリートメント,P&G,h＆s(エイチ アンド エス),5.2,532.0,,350g / 435g (オープン価格),2025/4/19,,
ヘアケア・スタイリング,33位,https://www.cosme.net/products/10260294/,エッセンスインヘアマスク,オルビス,オルビス,5.1,947.0,,"200g・1,540円",2024/8/20,,
ヘアケア・スタイリング,34位,https://www.cosme.net/products/10252927/,melt モイストコンディショニングウォーター,花王,melt,4.7,418.0,,30ml / 170ml (オープン価格),2024/4/20 (2025/3/15追加発売),,
ヘアケア・スタイリング,35位,https://www.cosme.net/products/10241651/,薬用 メディカル アンチヘアロスセラム,ロクシタン,ロクシタン,5.0,1337.0,,"50mL・6,160円",2023/8/30,,
ヘアケア・スタイリング,36位,https://www.cosme.net/products/10258240/,GYUTTO　コルセットヘアマスク,ロート製薬,Gyutto,4.9,679.0,,200g (オープン価格),2024/7/1,,
ヘアケア・スタイリング,37位,https://www.cosme.net/products/10270302/,リペアマスク グリーン・ローズ,SABON Japan(サボンジャパン),SABON(サボン),5.6,214.0,,"200mL・5,500円",2025/4/17,,
ヘアケア・スタイリング,38位,https://www.cosme.net/products/10129994/,ミントリープ クール スカルプスプレー,ハウス オブ ローゼ,ハウス オブ ローゼ,5.3,457.0,,"100g・1,650円",2017/5/26 (2025/5/1追加発売),,
ヘアケア・スタイリング,39位,https://www.cosme.net/products/347561/,パドル ブラシ,AVEDA,AVEDA(アヴェダ),5.5,3795.0,,,- (2019/5/9追加発売),"4,400円 / 5,060円",
ヘアケア・スタイリング,40位,https://www.cosme.net/products/10080625/,エマルジョン+,ミルボン,エルジューダ,5.4,3903.0,,"120g・2,860円",2014/5/29,,
ヘアケア・スタイリング,41位,https://www.cosme.net/products/10192821/,ポイントリペア ピュア,多田,plus eau（プリュスオー）,5.3,1177.0,,"10ml・1,210円",2020/2/14 (2020/9/4追加発売),,
ヘアケア・スタイリング,42位,https://www.cosme.net/products/10009307/,モロッカンオイル トリートメント,モロッカンオイル ジャパン,モロッカンオイル,5.4,7994.0,,"25ml・1,760円 / 50ml・3,685円 / 100ml・4,950円",-,,
ヘアケア・スタイリング,43位,https://www.cosme.net/products/10153354/,リラクシングマッサージブラシ,エトヴォス,エトヴォス,5.3,1855.0,,,2018/5/25 (2025/6/4追加発売),"1,925円",
ヘアケア・スタイリング,44位,https://www.cosme.net/products/10155380/,ファンゴ シャンプー／ヘアマスク n,コーセー,プレディア,5.1,1359.0,,"15ml＋17g・110円 / 250g・1,650円 / 300ml・1,320円 / 500ml(詰替え用)・1,650円 / 600ml・2,200円 / 640g(付けかえ用)・3,080円 / 640g・3,300円",2018/6/16,,
ヘアケア・スタイリング,45位,https://www.cosme.net/products/10244801/,オイルインシャンプー／コンディショナー(リッチ＆リペア),クラシエ,ディアボーテ,5.1,2086.0,,10ml+10g / 400g / 400ml / 500g / 500ml / 660ｇ / 660ｍL (オープン価格),2023/9/25 (2024/8/30追加発売),,
ヘアケア・スタイリング,46位,https://www.cosme.net/products/10267438/,melt スムースコンディショニングウォーター,花王,melt,4.9,172.0,,30ml / 170ml (オープン価格),2025/3/15,,
ヘアケア・スタイリング,47位,https://www.cosme.net/products/345572/,フィーノ　プレミアムタッチ　濃厚美容液ヘアマスク,ファイントゥデイ,フィーノ,5.2,21006.0,,230g (オープン価格),2005/2/25,,
ヘアケア・スタイリング,48位,https://www.cosme.net/products/10227350/,ナチュラルローション,セザンヌ化粧品,セザンヌ,4.9,869.0,,360ml・715円,2022/10/10,,
ヘアケア・スタイリング,49位,https://www.cosme.net/products/10243606/,エッセンシャル プレミアム ウォータートリートメント ナチュラルモイスト(旧),花王,エッセンシャル,4.7,3470.0,,200ml (オープン価格),2023/11/4 (2024年4月中旬頃追加発売),,
ヘアケア・スタイリング,50位,https://www.cosme.net/products/10260972/,モロッカンビューティ ディープモイスト ハイブリッド ヘアミルク,ボトルワークス,ボトルワークス,5.2,189.0,,"150mL・1,595円",2024/9/30,,
ボディケア・オーラルケア,1位,https://www.cosme.net/products/10191552/,アロマボディシート,アユーラ ラボラトリーズ,アユーラ,5.3,2020.0,,"15枚入・825円 / 30枚入・1,430円",2020/6/1,,
ボディケア・オーラルケア,2位,https://www.cosme.net/products/10189923/,ディープモイスチャースプレー,花王,キュレル,5.6,7214.0,,"60g・990円 / 150g・1,980円 / 250g・2,750円 (編集部調べ)",2020/4/11,,
ボディケア・オーラルケア,3位,https://www.cosme.net/products/10207264/,メディテーションバス（香涼み）,アユーラ ラボラトリーズ,アユーラ,5.4,437.0,,"300mL・2,750円",2021/6/1 (2025/4/25追加発売),,
ボディケア・オーラルケア,4位,https://www.cosme.net/products/10195129/,メディテーションバスt,アユーラ ラボラトリーズ,アユーラ,5.6,4967.0,,"50ml(J)・616円 / 300ml・2,200円 / 700ml(L)・4,730円",2020/10/1,,
ボディケア・オーラルケア,5位,https://www.cosme.net/products/10129996/,ミントリープ クール ボディシート,ハウス オブ ローゼ,ハウス オブ ローゼ,5.4,1066.0,,20枚入り・660円,2017/5/26 (2025/5/1追加発売),,
ボディケア・オーラルケア,6位,https://www.cosme.net/products/10117858/,ボディミルク ブライトニング＆エイジングケア＜医薬部外品＞,ファンケル,ファンケル,5.1,2062.0,,"150g・1,320円 / 190g(限定)・1,672円 / 250g・2,200円",2016/9/16 (2025/2/19追加発売),,
ボディケア・オーラルケア,7位,https://www.cosme.net/products/10136147/,APフェイス＆ボディ乳液,ロート製薬,ケアセラ,5.5,2438.0,,200ml / 370ml(詰め替え) / 400ml (オープン価格),2017/8/29 (2023/9/1追加発売),,
ボディケア・オーラルケア,8位,https://www.cosme.net/products/10227126/,キュレル バスタイム モイストバリアクリーム,花王,キュレル,5.5,2246.0,,"310g(つけかえ用)・1,760円 / 310g(本体)・1,980円 (編集部調べ)",2022/10/8,,
ボディケア・オーラルケア,9位,https://www.cosme.net/products/10269848/,ボディ スムーザー LG,ハウス オブ ローゼ,ハウス オブ ローゼ,5.5,155.0,,"350ｇ・1,760円",2025/4/1,,
ボディケア・オーラルケア,10位,https://www.cosme.net/products/10188331/,薬用ソフトストーンＷ,シービック,デオナチュレ,5.4,3028.0,,20g (オープン価格),2020/1/20,,
ボディケア・オーラルケア,11位,https://www.cosme.net/products/10012269/,Oh! Baby ボディ スムーザー N,ハウス オブ ローゼ,ハウス オブ ローゼ,5.4,8071.0,,"570g・2,200円",2010/10/29,,
ボディケア・オーラルケア,12位,https://www.cosme.net/products/10201558/,アルティミューン パワライジング ハンドクリーム,資生堂インターナショナル,SHISEIDO,5.3,1630.0,,"50g・3,080円",2020/12/1,,
ボディケア・オーラルケア,13位,https://www.cosme.net/products/10188333/,薬用足指さらさらクリーム,シービック,デオナチュレ,5.5,1863.0,,30g・990円,2020/1/20,,
ボディケア・オーラルケア,14位,https://www.cosme.net/products/10191483/,iroha INTIMATE WASH【FOAM TYPE】ベルガモットとビターオレンジの香り,TENGA,iroha INTIMATE CARE,5.1,1664.0,,"135ml(詰替え用)・1,320円 / 150ml・1,650円",2020/3/19 (2023/3/23追加発売),,
ボディケア・オーラルケア,15位,https://www.cosme.net/products/10125993/,薬用さらさらデオドラントパウダー,シービック,デオナチュレ,5.1,1906.0,,15g (オープン価格),2017/2/1,,
ボディケア・オーラルケア,16位,https://www.cosme.net/products/10229168/,ハトムギ化粧水,イミュ,ナチュリエ,5.1,3812.0,,500ml (オープン価格),2022/11/30,,
ボディケア・オーラルケア,17位,https://www.cosme.net/products/10214162/,ボディウォッシュ BEE HUG,HACCI's JAPAN,HACCI(ハッチ),5.2,920.0,,"385ml・5,500円",2021/10/1,,
ボディケア・オーラルケア,18位,https://www.cosme.net/products/266318/,アンティ パースパイラント デオドラント ロールオン N＜医薬部外品＞,クリニーク ラボラトリーズ,クリニーク,5.4,4154.0,,"75ml・4,620円",1985/4/1,,
ボディケア・オーラルケア,19位,https://www.cosme.net/products/10195130/,ナイトリートバス,アユーラ ラボラトリーズ,アユーラ,5.4,1859.0,,"50ml(J)・638円 / 300ml・2,750円",2020/10/1,,
ボディケア・オーラルケア,20位,https://www.cosme.net/products/10235635/,アパガードセレナ,サンギ,アパガード,5.2,3187.0,,"20ｇ・363円 / 53g・847円 / 105g・1,463円",2023/3/10 (2024/6/21追加発売),,
ボディケア・オーラルケア,21位,https://www.cosme.net/products/10250826/,スキンセラム,資生堂,アネッサ,5.1,609.0,,"160mL(つめかえ用)・2,398円 / 180mL・2,728円 (編集部調べ)",2024/2/21,,
ボディケア・オーラルケア,22位,https://www.cosme.net/products/10247286/,バイブラントラディアンス アロマミルク,Kenvue,ジョンソンボディケア,5.0,705.0,,200ml / 500ml (オープン価格),2023/8/18,,
ボディケア・オーラルケア,23位,https://www.cosme.net/products/10222669/,リフレッシング デオドラントミスト,エキップ,athletia(アスレティア),5.3,241.0,,"100ml・3,850円",2022/4/8,,
ボディケア・オーラルケア,24位,https://www.cosme.net/products/10166512/,ニベア エンジェルスキン ボディウォッシュ サボン＆ブーケの香り,ニベア花王,ニベア,5.3,2127.0,,360ml(つめかえ用) / 480ml(ポンプ) (オープン価格),2019/4/13 (2022/10/3追加発売),,
ボディケア・オーラルケア,25位,https://www.cosme.net/products/10112137/,ボムバストクリーム リッチ,ピーチ・ジョン,PEACH JOHN(ピーチ・ジョン),5.1,1006.0,,"150g・3,278円",2016/4/13,,
ボディケア・オーラルケア,26位,https://www.cosme.net/products/10270641/,ふわとろクリーミースクラブ　ザクロ＆シアバター,ユニリーバ・ジャパン,ダヴ,5.3,116.0,,50g / 298g (オープン価格),2025/2/10 (2025/4/7追加発売),,
ボディケア・オーラルケア,27位,https://www.cosme.net/products/10085090/,アパガードプレミオ,サンギ,アパガード,5.0,3839.0,,"53g・957円 / 105g・1,683円",- (2023/3/10追加発売),,
ボディケア・オーラルケア,28位,https://www.cosme.net/products/2902350/,アーモンド モイスチャライジング シャワーオイル,ロクシタン,ロクシタン,5.2,413.0,,"250ml・3,960円",- (2018/4/25追加発売),,
